eps,std,rmax,init_acc,final_acc,acc_drop,retrains,unlearn_time
0.9,0.05,1e-08,0.0,0.0,0.0,999,4.631738662719727
0.9,0.05,1e-09,0.0,0.0,0.0,999,4.364124298095703
0.9,0.07,1e-08,0.0,0.0,0.0,999,4.382398366928101
0.9,0.07,1e-09,0.0,0.0,0.0,999,4.502532005310059
0.9,0.1,1e-08,0.0,0.0,0.0,999,4.391309022903442
0.9,0.1,1e-09,0.0,0.0,0.0,999,4.530092716217041
0.7,0.05,1e-08,0.0,0.0,0.0,999,4.39272141456604
0.7,0.05,1e-09,0.0,0.0,0.0,999,4.4727184772491455
0.7,0.07,1e-08,0.0,0.0,0.0,999,4.370639324188232
0.7,0.07,1e-09,0.0,0.0,0.0,999,4.399817943572998
0.7,0.1,1e-08,0.0,0.0,0.0,999,4.3313987255096436
0.7,0.1,1e-09,0.0,0.0,0.0,999,4.451678037643433
0.5,0.05,1e-08,0.0,0.0,0.0,999,4.258143424987793
0.5,0.05,1e-09,0.0,0.0,0.0,999,4.254422426223755
0.5,0.07,1e-08,0.0,0.0,0.0,999,4.701777696609497
0.5,0.07,1e-09,0.0,0.0,0.0,999,4.476067066192627
0.5,0.1,1e-08,0.0,0.0,0.0,999,4.422363758087158
0.5,0.1,1e-09,0.0,0.0,0.0,999,4.34960412979126
