dataset,rmax,lam,std,eps,prop_step,weight_mode,lr,optimizer,epochs,num_batch_removes,num_removes,seed,initial_val_acc,initial_test_acc,final_val_acc,final_test_acc,avg_update_cost,avg_unlearn_cost,avg_tot_cost,num_retrain,train_cost,total_time,completed,error,wall_time
cora,1e-7,1e-2,0.08,1.0,3,avg,0.1,Adam,200,200,1,0,0.858,0.839,0.8539999723434448,0.8370000123977661,0.00300184,0.8181569619919173,0.8211588019919174,0,0.436825,160.221859,True,,164.28
cora,1e-7,1e-2,0.08,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.856,0.841,0.8519999980926514,0.8399999737739563,0.002887045,0.8061888059892226,0.8090758509892226,0,2.679956,161.860168,True,,167.86
cora,1e-7,1e-2,0.05,1.0,3,avg,0.1,Adam,200,200,1,0,0.862,0.844,0.8600000143051147,0.8410000205039978,0.003005972,0.7937002080143429,0.7967061800143429,0,0.432097,161.736108,True,,165.49
cora,1e-7,1e-2,0.05,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.003070602,0.7929476250137668,0.7960182270137668,0,2.545713,163.866083,True,,169.73
cora,1e-7,5*(1e-3),0.08,1.0,3,avg,0.1,Adam,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.003070602,0.7929476250137668,0.7960182270137668,0,2.545713,163.866083,True,,2.8
cora,1e-7,5*(1e-3),0.08,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.003070602,0.7929476250137668,0.7960182270137668,0,2.545713,163.866083,True,,2.78
cora,1e-7,5*(1e-3),0.05,1.0,3,avg,0.1,Adam,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.003070602,0.7929476250137668,0.7960182270137668,0,2.545713,163.866083,True,,2.82
cora,1e-7,5*(1e-3),0.05,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.003070602,0.7929476250137668,0.7960182270137668,0,2.545713,163.866083,True,,2.79
cora,1e-8,1e-2,0.08,1.0,3,avg,0.1,Adam,200,200,1,0,0.858,0.839,0.8539999723434448,0.8370000123977661,0.00303738,0.7949538539978676,0.7979912339978675,0,0.430144,162.269515,True,,166.0
cora,1e-8,1e-2,0.08,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.856,0.841,0.8519999980926514,0.8399999737739563,0.003146957,0.7937928999890573,0.7969398569890573,0,2.831115,162.087622,True,,168.24
cora,1e-8,1e-2,0.05,1.0,3,avg,0.1,Adam,200,200,1,0,0.862,0.844,0.8600000143051147,0.8410000205039978,0.003022225,0.7947806009906344,0.7978028259906345,0,0.431828,162.173321,True,,165.93
cora,1e-8,1e-2,0.05,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.00307785,0.7931055359949823,0.7961833859949824,0,2.53084,161.259491,True,,167.13
cora,1e-8,5*(1e-3),0.08,1.0,3,avg,0.1,Adam,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.00307785,0.7931055359949823,0.7961833859949824,0,2.53084,161.259491,True,,2.89
cora,1e-8,5*(1e-3),0.08,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.00307785,0.7931055359949823,0.7961833859949824,0,2.53084,161.259491,True,,2.8
cora,1e-8,5*(1e-3),0.05,1.0,3,avg,0.1,Adam,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.00307785,0.7931055359949823,0.7961833859949824,0,2.53084,161.259491,True,,2.79
cora,1e-8,5*(1e-3),0.05,1.0,3,avg,0.1,LBFGS,200,200,1,0,0.862,0.843,0.8619999885559082,0.8410000205039978,0.00307785,0.7931055359949823,0.7961833859949824,0,2.53084,161.259491,True,,2.78
